Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-23.40545654296875,10.41717529296875,-16.49932861328125,2014-08-08 06:50:03 +0200,0.1359405517578125,9.436752319335938,0.224365234375
-27.08740234375,14.70947265625,-28.2379150390625,2014-08-08 06:50:04 +0200,0.2192840576171875,9.560897827148438,0.1902008056640625
-32.13348388671875,14.36614990234375,-27.55126953125,2014-08-08 06:50:05 +0200,0.0862884521484375,9.60107421875,0.4774322509765625
-27.94342041015625,16.6900634765625,-31.89697265625,2014-08-08 06:50:06 +0200,0.019500732421875,9.53839111328125,0.4994659423828125
-29.78668212890625,21.83685302734375,-36.9049072265625,2014-08-08 06:50:07 +0200,0.249176025390625,9.786422729492188,0.4947967529296875
-30.03692626953125,14.33868408203125,-27.48565673828125,2014-08-08 06:50:08 +0200,0.2869873046875,9.532684326171875,0.49609375
-27.4658203125,20.245361328125,-36.23504638671875,2014-08-08 06:50:09 +0200,-0.070648193359375,9.59283447265625,0.62603759765625
-28.89404296875,16.064453125,-29.35028076171875,2014-08-08 06:50:10 +0200,-0.0985260009765625,9.5267333984375,0.57513427734375
-22.85308837890625,8.77685546875,-21.9635009765625,2014-08-08 06:50:11 +0200,0.1357269287109375,9.67193603515625,0.47271728515625
-25.09307861328125,16.436767578125,-34.027099609375,2014-08-08 06:50:12 +0200,0.155487060546875,9.54510498046875,0.56341552734375
-29.80804443359375,12.39776611328125,-25.70648193359375,2014-08-08 06:50:13 +0200,0.18194580078125,9.430160522460938,0.5424346923828125
-24.0020751953125,16.36962890625,-27.37884521484375,2014-08-08 06:50:14 +0200,0.100921630859375,9.511871337890625,0.4692230224609375
-26.25885009765625,17.61322021484375,-34.59014892578125,2014-08-08 06:50:15 +0200,0.161956787109375,9.757659912109375,0.529449462890625
-27.8900146484375,6.3568115234375,-20.916748046875,2014-08-08 06:50:16 +0200,0.349578857421875,9.703033447265625,0.5130462646484375
-24.39422607421875,14.4500732421875,-23.94561767578125,2014-08-08 06:50:17 +0200,0.14361572265625,9.59588623046875,0.51959228515625
-32.3944091796875,14.09759521484375,-24.8260498046875,2014-08-08 06:50:18 +0200,0.1063690185546875,9.545791625976562,0.5423583984375
-28.265380859375,7.67059326171875,-17.07763671875,2014-08-08 06:50:19 +0200,-0.024688720703125,9.560409545898438,0.635894775390625
-23.724365234375,16.082763671875,-26.8646240234375,2014-08-08 06:50:20 +0200,0.208770751953125,9.660934448242188,0.514892578125
-23.5565185546875,16.9403076171875,-25.31890869140625,2014-08-08 06:50:21 +0200,0.274658203125,9.238296508789062,0.583526611328125
-23.2208251953125,6.98394775390625,-17.76580810546875,2014-08-08 06:50:22 +0200,0.1192779541015625,9.806304931640625,0.5305938720703125
-19.0155029296875,15.05279541015625,-25.83465576171875,2014-08-08 06:50:23 +0200,0.4868316650390625,9.484649658203125,0.3573455810546875
-23.2208251953125,18.3135986328125,-22.9156494140625,2014-08-08 06:50:24 +0200,0.5102996826171875,9.650772094726562,0.4098052978515625
